label,num,vtg1,vtg2,vtg3,vtg4,vtg5,vtg6,vtg7,vtg8,vtg9,crt1,crt2,crt3,crt4,crt5,crt6,crt7,crt8,crt9
0,1,13.7,13.7,13.7,13.1,13.1,13.1,13.1,13.2,,173.3,173.3,173.3,177.5,175.8,175.8,175.8,173.7,
0,2,15.2,15.2,15.2,13.1,13.1,13.6,13.6,13.6,,168.3,168.3,168.3,177.9,174.5,175,175,175,
1,3,13.6,13.6,13.1,13,13.1,13.1,,,,175.4,175.4,175,175.8,175.8,174.1,,,
1,4,13.2,13.1,13.1,13.4,13.3,13.2,13.4,13.4,13.4,173.3,174.5,173.7,173.7,173.7,175,130.8,130.8,130.8
1,5,13.2,13.1,13.3,13.3,13.5,13.1,13.2,,,173.3,174.5,172.9,173.3,175.4,175.4,155,,
1,6,13.6,13.6,13.1,13.3,13.2,13.3,13.2,13.3,,172.5,172.5,176.2,172.9,173.7,176.2,175.8,174.1,
0,7,14.9,14.9,14.9,14.9,13.1,13.2,13.1,13.1,,169.5,169.5,169.5,169.5,177.9,174.1,174.5,175.8,
0,8,14.5,14.5,14.5,13.2,13.2,13.2,13.2,13.4,,169.5,169.5,169.5,173.3,173.3,173.3,173.3,173.7,
1,9,13,13.1,13.4,13.9,13.5,13.5,13.3,,,174.1,175.8,175,175,176.6,176.2,138.7,,
1,10,13.5,13.3,13.3,13.3,12.9,13.2,13.1,,,174.1,174.5,174.5,174.5,176.2,174.1,177.9,,
0,11,14,14,13.2,13.2,13.5,13.1,13.3,13.2,,170.8,170.8,174.1,174.5,173.3,175.4,175.4,175.8,
